Add Номер: 1; Приоритет: 4; Шаг: 1
Add Номер: 2; Приоритет: 4; Шаг: 1
Add Номер: 3; Приоритет: 4; Шаг: 1
Add Номер: 4; Приоритет: 3; Шаг: 1
Add Номер: 5; Приоритет: 4; Шаг: 1
Add Номер: 6; Приоритет: 5; Шаг: 1
Add Номер: 7; Приоритет: 2; Шаг: 1
Add Номер: 8; Приоритет: 3; Шаг: 1
Add Номер: 9; Приоритет: 2; Шаг: 1
Add Номер: 10; Приоритет: 4; Шаг: 1
Remove Номер: 6; Приоритет: 5; Шаг: 1
Add Номер: 11; Приоритет: 5; Шаг: 2
Remove Номер: 11; Приоритет: 5; Шаг: 2
Remove Номер: 5; Приоритет: 4; Шаг: 1
Remove Номер: 10; Приоритет: 4; Шаг: 1
Remove Номер: 2; Приоритет: 4; Шаг: 1
Remove Номер: 1; Приоритет: 4; Шаг: 1
Remove Номер: 3; Приоритет: 4; Шаг: 1
Remove Номер: 8; Приоритет: 3; Шаг: 1
Remove Номер: 4; Приоритет: 3; Шаг: 1
Remove Номер: 7; Приоритет: 2; Шаг: 1
Remove Номер: 9; Приоритет: 2; Шаг: 1
